weight_class,round,winner,winner_school,win_type,loser,loser_school,score
131,Champ. Round 1,Alexis Schneider,Bismarck State,decision,Madison Pena,Wayland Baptist,Dec 9-0
131,Champ. Round 1,Waipuilani Estrella-Beauchamp,Providence,tech fall,Aileya Sath,Baker,TF 10-0
138,1st Place Match,Esther Kolawole,William Penn,tech fall,Zaynah McBryde,Life,TF 10-0
138,3rd Place Match,Samantha Barragan,Texas Wesleyan,tech fall,Maci Avila,Midland,TF 12-2
138,5th Place Match,Haley Le,Evergreen State,tech fall,Aileen Lester,Ottawa,TF 10-0
138,7th Place Match,Reagen Gallaway,Hastings,decision,Skylur Lewis,Saint Mary,Dec 2-2
138,Cons. Semi,Samantha Barragan,Texas Wesleyan,fall,Haley Le,Evergreen State,Fall 3:00
138,Cons. Semi,Maci Avila,Midland,decision,Aileen Lester,Ottawa,Dec 13-6
138,Cons. Round 5,Haley Le,Evergreen State,injury default,Skylur Lewis,Saint Mary,Inj. 4:07
138,Cons. Round 5,Maci Avila,Midland,decision,Reagen Gallaway,Hastings,Dec 11-4
138,Semifinal,Esther Kolawole,William Penn,tech fall,Aileen Lester,Ottawa,TF 10-0
138,Semifinal,Zaynah McBryde,Life,tech fall,Samantha Barragan,Texas Wesleyan,TF 11-0
138,Cons. Round 4,Skylur Lewis,Saint Mary,fall,Kinnley Smith,Indiana Tech,Fall 4:48
138,Cons. Round 4,Haley Le,Evergreen State,tech fall,Christina Jaen,Life,TF 11-0
138,Cons. Round 4,Reagen Gallaway,Hastings,tech fall,Esther Han,Providence,TF 10-0
138,Cons. Round 4,Maci Avila,Midland,tech fall,Ruth Jimenez,Cumberlands,TF 10-0
138,Cons. Round 3,Kinnley Smith,Indiana Tech,decision,Zoe Fries,Missouri Baptist,Dec 11-4
138,Cons. Round 3,Haley Le,Evergreen State,fall,Serenity De La Garza,Missouri Valley,Fall 1:29
138,Cons. Round 3,Esther Han,Providence,fall,Makayla Correa,Southern Oregon,Fall 5:47
138,Cons. Round 3,Ruth Jimenez,Cumberlands,decision,Brielle Bibla,Lindsey Wilson,Dec 10-4
138,Quarterfinal,Esther Kolawole,William Penn,tech fall,Christina Jaen,Life,TF 10-0
138,Quarterfinal,Aileen Lester,Ottawa,decision,Skylur Lewis,Saint Mary,Dec 4-0
138,Quarterfinal,Samantha Barragan,Texas Wesleyan,fall,Maci Avila,Midland,Fall 2:26
138,Quarterfinal,Zaynah McBryde,Life,tech fall,Reagen Gallaway,Hastings,TF 14-3
138,Cons. Round 2,Zoe Fries,Missouri Baptist,fall,Emily Neumann,Central Methodist,Fall 2:43
138,Cons. Round 2,Kinnley Smith,Indiana Tech,decision,Lisa Hoeflich,Hastings,Dec 6-3
138,Cons. Round 2,Serenity De La Garza,Missouri Valley,fall,Natalia Posada,Oklahoma City,Fall 5:10
138,Cons. Round 2,Esther Han,Providence,tech fall,Lexi Ritchie,Lindsey Wilson,TF 11-1
138,Cons. Round 2,Ruth Jimenez,Cumberlands,decision,Teani Medeiros-Maielua,William Woods,Dec 6-0
138,Champ. Round 2,Esther Kolawole,William Penn,tech fall,Teani Medeiros-Maielua,William Woods,TF 10-0
138,Champ. Round 2,Christina Jaen,Life,tech fall,Brielle Bibla,Lindsey Wilson,TF 11-0
138,Champ. Round 2,Aileen Lester,Ottawa,decision,Makayla Correa,Southern Oregon,Dec 6-3
138,Champ. Round 2,Skylur Lewis,Saint Mary,fall,Esther Han,Providence,Fall 2:25
138,Champ. Round 2,Samantha Barragan,Texas Wesleyan,fall,Haley Le,Evergreen State,Fall 4:00
138,Champ. Round 2,Maci Avila,Midland,tech fall,Natalia Posada,Oklahoma City,TF 10-0
138,Champ. Round 2,Reagen Gallaway,Hastings,fall,Kinnley Smith,Indiana Tech,Fall 1:26
138,Champ. Round 2,Zaynah McBryde,Life,tech fall,Zoe Fries,Missouri Baptist,TF 11-0
138,Champ. Round 1,Teani Medeiros-Maielua,William Woods,tech fall,Emily Neumann,Central Methodist,TF 10-0
138,Champ. Round 1,Christina Jaen,Life,fall,Lisa Hoeflich,Hastings,Fall 1:40
138,Champ. Round 1,Makayla Correa,Southern Oregon,fall,Serenity De La Garza,Missouri Valley,Fall 4:12
138,Champ. Round 1,Samantha Barragan,Texas Wesleyan,fall,Lexi Ritchie,Lindsey Wilson,Fall 4:25
138,Champ. Round 1,Zaynah McBryde,Life,tech fall,Ruth Jimenez,Cumberlands,TF 10-0
145,1st Place Match,Jamilah McBryde,Life,decision,Jordan Suarez,Wayland Baptist,Dec 9-6
145,3rd Place Match,Kori Campbell,Lindsey Wilson,decision,Holland Wieber,Southern Oregon,Dec 2-1
145,5th Place Match,Madison Diaz,Grand View,decision,Brooke-Lynn Rush,Missouri Valley,Dec 4-0
145,7th Place Match,Hayden Newberg,Indiana Tech,tech fall,Maggie Ortmann,Missouri Baptist,TF 16-4
145,Cons. Semi,Holland Wieber,Southern Oregon,fall,Madison Diaz,Grand View,Fall 0:41
145,Cons. Semi,Kori Campbell,Lindsey Wilson,tech fall,Brooke-Lynn Rush,Missouri Valley,TF 10-0
145,Cons. Round 5,Madison Diaz,Grand View,decision,Maggie Ortmann,Missouri Baptist,Dec 9-1
145,Cons. Round 5,Brooke-Lynn Rush,Missouri Valley,fall,Hayden Newberg,Indiana Tech,Fall 5:10
145,Semifinal,Jordan Suarez,Wayland Baptist,fall,Kori Campbell,Lindsey Wilson,Fall 5:01
145,Semifinal,Jamilah McBryde,Life,decision,Holland Wieber,Southern Oregon,Dec 4-3
145,Cons. Round 4,Maggie Ortmann,Missouri Baptist,fall,Genesis Gilmore,Cumberlands,Fall 1:46
145,Cons. Round 4,Madison Diaz,Grand View,fall,Elise Twait,Providence,Fall 0:27
145,Cons. Round 4,Hayden Newberg,Indiana Tech,decision,Sarina Bertram,Missouri Valley,Dec 5-2
145,Cons. Round 4,Brooke-Lynn Rush,Missouri Valley,decision,Gabriella Perez,Campbellsville,Dec 3-2
145,Cons. Round 3,Maggie Ortmann,Missouri Baptist,fall,Amelia Fawcett,Life,Fall 1:59
145,Cons. Round 3,Elise Twait,Providence,decision,Veil Foreman,Eastern Oregon,Dec 4-1
145,Cons. Round 3,Hayden Newberg,Indiana Tech,fall,Naida Abdijanovic,William Penn,Fall 4:45
145,Cons. Round 3,Brooke-Lynn Rush,Missouri Valley,decision,Emma Stice,Hastings,Dec 9-3
145,Quarterfinal,Jordan Suarez,Wayland Baptist,tech fall,Madison Diaz,Grand View,TF 12-0
